Time,Source,Destination,Protocol,Length
2024-11-15 09:33:16.075933,192.168.1.34,146.75.122.172,6,74
2024-11-15 09:33:16.113473,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.114290,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:33:16.129870,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.130696,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:33:16.148441,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.149198,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:16.218988,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.218988,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.220447,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:16.255426,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.273507,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.274510,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:16.292083,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.334932,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:16.363405,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.363405,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.364498,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:16.418339,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.418339,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.420214,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:16.435761,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.437173,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:33:16.477418,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.479091,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:33:16.507634,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.507634,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.509569,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:33:16.561767,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.563068,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:33:16.622298,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.622298,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.624572,192.168.1.34,146.75.122.172,6,74
2024-11-15 09:33:16.657423,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.659712,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:33:16.798857,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.798857,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.798857,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.802180,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:33:16.803026,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:16.803188,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.847371,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:16.945701,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.945701,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.948328,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:16.990026,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.990026,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.990943,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:17.089526,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:17.091653,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:17.092681,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:17.136745,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:17.136745,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:17.138683,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:17.168225,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:17.220396,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:17.236177,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:17.236177,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:17.238588,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:17.281804,146.75.122.172,192.168.1.34,6,1466
